aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
64,-26,8215,0,-1,-1,-0.17,0.47,42.90
65,-26,8214,0,-1,0,-0.17,0.47,42.90
64,-26,8209,0,-1,0,-0.17,0.47,42.90
69,-29,8206,-1,0,-1,-0.17,0.47,42.90
48,-36,8219,-1,-1,-1,-0.19,0.46,42.90
47,-31,8198,0,-1,-1,-0.18,0.47,42.90
43,-34,8165,0,0,-1,-0.18,0.47,42.90
55,-14,8194,0,-1,-1,-0.17,0.47,42.90
67,-10,8204,-1,0,0,-0.17,0.47,42.90
71,-17,8182,0,0,-1,-0.17,0.47,42.90
71,-36,8182,0,-1,-1,-0.17,0.47,42.90
65,-47,8206,-1,0,0,-0.18,0.47,42.90
53,-36,8205,-1,-1,0,-0.18,0.47,42.90
53,-17,8189,-1,0,0,-0.18,0.47,42.90
48,-12,8210,0,0,0,-0.17,0.47,42.90
54,-21,8205,0,-1,-1,-0.17,0.47,42.90
68,-25,8193,-1,0,-1,-0.17,0.47,42.90
84,-34,8201,0,0,-1,-0.17,0.47,42.90
90,-37,8200,0,-1,-1,-0.17,0.47,42.90
84,-39,8204,-1,-1,0,-0.17,0.47,42.90
83,-49,8197,-1,0,0,-0.17,0.47,42.90
80,-53,8197,-1,0,0,-0.18,0.47,42.90
76,-44,8199,0,-1,-1,-0.17,0.47,42.90
80,-30,8196,-1,0,-1,-0.17,0.47,42.90
79,-25,8199,-1,0,0,-0.17,0.47,42.90
73,-29,8200,0,0,0,-0.18,0.47,42.90
70,-22,8199,0,-1,-1,-0.17,0.47,42.90
60,-14,8200,-1,-1,0,-0.17,0.47,42.90
63,-25,8201,-1,0,0,-0.18,0.47,42.90
63,-34,8196,0,-1,-1,-0.17,0.47,42.90
64,-44,8201,0,-1,-1,-0.17,0.47,42.90
64,-45,8203,-1,0,-1,-0.17,0.47,42.90
61,-43,8198,-1,-1,0,-0.17,0.47,42.90
52,-37,8192,0,0,-1,-0.18,0.47,42.90
50,-35,8196,0,-1,-1,-0.18,0.47,42.90
57,-31,8194,-1,-1,-1,-0.18,0.47,42.90
65,-34,8185,-1,0,0,-0.18,0.47,42.90
71,-36,8182,0,-1,0,-0.17,0.47,42.90
78,-33,8192,0,-1,0,-0.17,0.47,42.90
80,-31,8195,-1,0,0,-0.17,0.47,42.90
72,-35,8203,-1,0,-1,-0.17,0.47,42.90
65,-38,8211,0,-1,0,-0.17,0.47,42.90
69,-34,8212,0,-1,0,-0.17,0.47,42.90
65,-27,8207,-1,0,0,-0.17,0.47,42.90
62,-28,8204,-1,0,-1,-0.17,0.47,42.90
55,-31,8206,-1,0,0,-0.18,0.47,42.90
52,-32,8208,0,-1,0,-0.18,0.47,42.90
46,-32,8201,-1,0,-1,-0.18,0.47,42.90
52,-29,8196,-1,0,0,-0.18,0.46,42.90
60,-31,8189,0,-1,0,-0.18,0.47,42.90
67,-29,8188,0,-1,-1,-0.18,0.47,42.90
72,-27,8189,-1,0,-1,-0.18,0.47,42.90
69,-30,8190,-1,0,-1,-0.18,0.47,42.90
69,-30,8194,-1,-1,-1,-0.18,0.47,42.90
64,-30,8200,-1,0,-1,-0.18,0.47,42.90
63,-29,8204,0,-1,-1,-0.18,0.47,42.90
61,-27,8200,0,-1,0,-0.18,0.47,42.90
62,-29,8202,-1,-1,0,-0.18,0.47,42.90
63,-31,8197,0,-1,-1,-0.18,0.47,42.89
63,-34,8194,0,-1,0,-0.18,0.47,42.89
68,-38,8196,-1,-1,-1,-0.18,0.47,42.90
67,-35,8196,-1,-1,-1,-0.18,0.47,42.90
65,-33,8191,0,-1,0,-0.17,0.47,42.90
61,-30,8191,-1,-1,0,-0.17,0.47,42.89
63,-30,8188,-1,0,0,-0.18,0.47,42.89
66,-34,8186,0,0,0,-0.18,0.47,42.89
62,-35,8188,0,-1,-1,-0.18,0.47,42.89
63,-39,8195,-1,-1,0,-0.18,0.47,42.89
62,-39,8191,-1,-1,-1,-0.18,0.47,42.89
63,-42,8194,-1,0,0,-0.18,0.47,42.89
