aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
1556,-336,7793,4,-22,2,-2.55,15.60,2.86
484,-99,8099,-1,0,0,-1.00,3.03,5.70
472,-102,8076,0,0,0,-0.99,3.03,5.68
454,-110,8073,1,-1,0,-0.98,3.03,5.68
441,-119,8092,1,-1,0,-0.96,3.04,5.66
428,-127,8113,1,-1,0,-0.94,3.04,5.65
420,-138,8128,0,-1,0,-0.93,3.06,5.65
414,-140,8148,0,-1,0,-0.92,3.06,5.64
405,-137,8161,-1,-1,0,-0.92,3.06,5.64
392,-127,8167,0,-1,0,-0.92,3.07,5.63
380,-125,8170,0,-1,0,-0.92,3.07,5.63
364,-120,8179,0,-1,-1,-0.91,3.08,5.63
361,-129,8183,0,-1,-2,-0.90,3.08,5.65
379,-143,8169,-1,-1,-2,-0.91,3.09,5.67
404,-150,8143,-1,-1,-3,-0.91,3.10,5.70
435,-158,8117,-1,-1,-3,-0.92,3.11,5.73
470,-158,8099,0,-2,-2,-0.91,3.14,5.75
504,-158,8100,1,-2,-2,-0.89,3.18,5.77
539,-150,8123,1,-2,-1,-0.88,3.21,5.78
567,-150,8161,1,-2,-1,-0.85,3.24,5.79
578,-150,8185,1,-2,0,-0.84,3.26,5.79
585,-141,8200,0,-1,0,-0.83,3.28,5.78
586,-129,8201,-1,-1,1,-0.84,3.30,5.77
580,-120,8179,-1,0,1,-0.84,3.31,5.75
561,-110,8150,-1,0,1,-0.85,3.30,5.73
529,-105,8126,-1,1,0,-0.85,3.29,5.72
508,-96,8111,0,1,0,-0.85,3.26,5.70
496,-112,8106,0,4,0,-0.84,3.21,5.70
494,-120,8121,0,7,-1,-0.83,3.12,5.71
522,-130,8170,0,15,-2,-0.81,2.95,5.73
572,-123,8235,-1,27,-4,-0.81,2.62,5.76
581,-112,8280,-3,41,-5,-0.83,2.10,5.81
519,-97,8297,-6,52,-6,-0.89,1.42,5.88
432,-86,8281,-9,61,-6,-0.99,0.59,5.97
352,-79,8237,-10,76,-8,-1.12,-0.41,6.06
288,-116,8172,-8,103,-14,-1.24,-1.74,6.23
217,-166,8067,-6,135,-23,-1.35,-3.50,6.51
143,-239,7938,-5,162,-30,-1.46,-5.65,6.92
