aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-897,-229,7937,-22,-94,3,-3.84,-2.00,-2.28
-704,-286,7897,-15,-97,6,-4.05,-0.66,-2.36
-539,-335,7907,-8,-95,9,-4.18,0.65,-2.49
-428,-358,7900,-4,-95,10,-4.24,1.93,-2.63
-384,-339,7862,-4,-109,9,-4.29,3.35,-2.77
-361,-328,7751,-7,-138,10,-4.37,5.10,-2.91
-255,-367,7613,-11,-179,12,-4.53,7.38,-3.08
-17,-454,7423,-14,-215,14,-4.78,10.19,-3.27
341,-564,7240,-16,-237,16,-5.11,13.39,-3.49
782,-649,7098,-12,-242,15,-5.44,16.72,-3.73
1255,-711,7031,-6,-235,11,-5.72,20.00,-3.94
1744,-739,6989,0,-220,6,-5.91,23.11,-4.13
2213,-771,6969,4,-203,0,-6.02,26.00,-4.27
2607,-766,6939,6,-187,-5,-6.05,28.66,-4.37
2901,-738,6869,6,-179,-8,-6.05,31.16,-4.44
3107,-714,6763,6,-178,-11,-6.04,33.62,-4.49
3317,-661,6657,4,-182,-14,-6.02,36.12,-4.50
3581,-596,6568,3,-182,-18,-5.97,38.66,-4.47
3922,-568,6502,2,-178,-21,-5.91,41.15,-4.38
4334,-544,6434,1,-164,-25,-5.80,43.48,-4.23
4729,-523,6375,-1,-144,-29,-5.61,45.58,-4.00
5047,-515,6287,-3,-130,-32,-5.36,47.44,-3.67
5323,-501,6144,-7,-127,-33,-5.11,49.22,-3.24
5568,-470,5903,-13,-131,-32,-4.92,51.04,-2.72
5763,-463,5576,-18,-139,-31,-4.80,52.97,-2.10
5936,-473,5156,-22,-148,-29,-4.76,55.04,-1.39
6093,-512,4702,-23,-157,-28,-4.79,57.25,-0.58
6271,-560,4234,-22,-162,-27,-4.84,59.57,0.29
6497,-590,3826,-19,-164,-25,-4.89,61.93,1.17
6783,-608,3475,-14,-158,-23,-4.89,64.24,2.03
7082,-648,3177,-10,-144,-21,-4.85,66.37,2.86
7362,-681,2933,-7,-130,-20,-4.73,68.30,3.64
7598,-683,2664,-6,-115,-19,-4.56,70.02,4.41
7743,-674,2421,-6,-108,-17,-4.38,71.59,5.25
7851,-651,2153,-8,-108,-14,-4.30,73.16,6.26
7925,-575,1880,-10,-112,-11,-4.38,74.78,7.53
8002,-501,1629,-10,-115,-7,-4.64,76.43,9.08
8087,-420,1375,-9,-110,-5,-5.07,78.05,10.90
8146,-359,1196,-7,-102,-5,-5.57,79.56,13.00
8193,-288,1069,-5,-91,-6,-6.05,80.90,15.26
8210,-208,997,-3,-76,-7,-6.29,82.04,17.69
8210,-123,980,-3,-61,-9,-6.15,82.95,20.18
8244,-49,965,-5,-46,-13,-5.33,83.67,22.74
8324,-11,901,-8,-31,-16,-3.67,84.16,25.34
8431,-14,821,-10,-17,-18,-1.46,84.46,27.78
8621,-28,717,-10,-4,-19,1.07,84.58,29.70
8870,-54,635,-9,10,-17,3.45,84.50,30.58
9110,-59,578,-6,27,-13,4.95,84.19,30.09
9265,-26,524,-3,45,-7,5.51,83.63,28.33
9295,14,434,-3,56,-1,5.17,82.91,26.02
9213,76,341,-3,52,4,4.39,82.21,24.11
9080,146,257,-3,37,8,3.45,81.70,22.85
8962,194,205,-1,22,14,2.25,81.41,22.03
8885,203,231,3,15,19,0.72,81.25,21.17
8845,181,357,10,21,22,-1.07,81.02,19.67
8820,159,595,17,41,24,-2.77,80.54,17.25
8769,159,969,23,71,24,-4.05,79.63,13.98
8659,182,1420,26,107,22,-4.69,78.20,10.40
8429,210,1787,23,140,17,-4.73,76.27,7.36
8098,265,2035,13,158,11,-4.41,74.05,5.39
7734,302,2198,1,148,5,-4.03,71.88,4.47
7440,304,2283,-8,125,3,-3.81,70.02,4.24
7238,270,2347,-12,105,5,-3.80,68.48,4.24
-1360,-294,8133,-1,-1,0,-2.04,-9.41,-3.27
-1381,-298,8128,-1,-1,0,-2.04,-9.41,-3.28
-1397,-302,8110,-1,-1,-1,-2.06,-9.41,-3.28
-1404,-308,8080,-2,-1,-1,-2.07,-9.40,-3.28
-1410,-319,8044,-2,-2,-1,-2.09,-9.39,-3.28
-1416,-329,8009,-1,-2,0,-2.11,-9.38,-3.29
-1423,-335,7974,0,-3,0,-2.11,-9.36,-3.29
-1438,-336,7964,0,-3,1,-2.10,-9.33,-3.31
-1449,-340,7975,1,-4,1,-2.08,-9.29,-3.32
-1453,-340,8006,1,-4,1,-2.07,-9.25,-3.34
-1449,-335,8052,1,-3,0,-2.04,-9.22,-3.34
-1440,-330,8084,1,-1,0,-2.02,-9.21,-3.35
-1434,-318,8110,1,0,-1,-2.00,-9.22,-3.34
-1429,-295,8125,0,1,-1,-1.99,-9.25,-3.34
-1435,-277,8134,0,1,-1,-1.98,-9.28,-3.33
-1442,-266,8147,0,1,-1,-1.98,-9.30,-3.32
-1441,-253,8151,0,-1,-1,-1.97,-9.30,-3.32
-1428,-251,8163,0,-1,-2,-1.96,-9.30,-3.30
-1407,-249,8173,0,-1,-2,-1.96,-9.30,-3.29
-1386,-249,8180,0,-1,-1,-1.96,-9.28,-3.27
-1363,-255,8190,-1,-1,-1,-1.96,-9.28,-3.26
-1344,-262,8193,-1,-1,-1,-1.97,-9.26,-3.25
-1325,-263,8182,-1,0,-1,-1.98,-9.26,-3.24
-1320,-271,8169,-1,1,-1,-1.98,-9.28,-3.24
-1325,-276,8163,0,2,-1,-1.98,-9.30,-3.24
-1334,-277,8139,0,1,-1,-1.98,-9.33,-3.23
-1344,-288,8135,0,1,-1,-1.97,-9.35,-3.22
-1345,-297,8128,0,-1,-1,-1.96,-9.35,-3.22
-1337,-301,8133,0,-2,-1,-1.96,-9.33,-3.21
-1335,-307,8142,0,-2,-1,-1.96,-9.31,-3.21
-1333,-307,8144,0,-2,-1,-1.94,-9.29,-3.20
-1336,-300,8137,0,-2,-1,-1.94,-9.27,-3.20
-1341,-302,8125,-1,-4,-1,-1.94,-9.23,-3.19
-1346,-301,8103,-1,-5,-1,-1.95,-9.18,-3.19
-1363,-303,8067,-1,-8,-1,-1.95,-9.08,-3.18
-1379,-288,8003,0,-13,-1,-1.95,-8.94,-3.17
-1382,-274,7952,1,-20,-2,-1.93,-8.70,-3.15
-1372,-256,7917,3,-28,-2,-1.88,-8.36,-3.12
-1358,-223,7901,4,-37,-1,-1.81,-7.89,-3.10
-1358,-203,7922,4,-47,0,-1.74,-7.29,-3.08
-1360,-193,7967,2,-60,1,-1.69,-6.52,-3.08
-1366,-179,8024,-1,-73,3,-1.67,-5.57,-3.12
-1366,-165,8093,-3,-85,3,-1.69,-4.47,-3.17
-1372,-112,8179,-6,-95,2,-1.74,-3.22,-3.21
-1401,-18,8273,-9,-108,-1,-1.83,-1.82,-3.22
-1447,60,8329,-14,-128,-3,-1.95,-0.19,-3.20
-1422,105,8307,-20,-154,-5,-2.18,1.78,-3.14
-1306,127,8192,-28,-183,-7,-2.51,4.14,-3.04
-1105,90,7986,-34,-212,-9,-2.94,6.93,-2.91
-846,9,7656,-38,-243,-10,-3.45,10.13,-2.74
-504,-125,7295,-40,-279,-12,-4.01,13.85,-2.51
-48,-273,6927,-38,-307,-13,-4.59,18.00,-2.25
489,-374,6592,-34,-325,-14,-5.16,22.46,-1.95
1119,-494,6258,-31,-330,-16,-5.72,27.05,-1.60
1825,-604,6019,-27,-324,-22,-6.25,31.63,-1.16
2553,-697,5810,-23,-305,-28,-6.68,36.01,-0.61
3257,-756,5633,-18,-284,-34,-7.00,40.11,0.03
3926,-749,5444,-12,-264,-38,-7.16,43.95,0.73
4556,-726,5292,-5,-247,-40,-7.14,47.54,1.45
5150,-707,5165,2,-233,-40,-6.96,50.91,2.11
5696,-659,5037,5,-220,-39,-6.66,54.10,2.74
6164,-584,4909,6,-209,-36,-6.31,57.11,3.35
6505,-474,4708,2,-198,-33,-5.98,59.96,4.04
6714,-358,4515,-3,-194,-30,-5.69,62.70,4.88
6850,-252,4253,-10,-189,-29,-5.45,65.38,6.01
6940,-191,3928,-17,-187,-29,-5.25,68.02,7.58
7077,-165,3598,-23,-184,-31,-5.02,70.62,9.78
7303,-183,3253,-26,-174,-33,-4.60,73.12,12.67
7554,-191,2860,-29,-158,-34,-3.94,75.43,16.38
7767,-161,2426,-31,-143,-32,-3.03,77.53,20.99
7885,-123,1971,-31,-131,-30,-1.78,79.45,26.62
7916,-90,1538,-31,-124,-27,-0.11,81.26,33.47
7893,-38,1118,-29,-116,-27,2.39,82.95,41.58
7814,1,749,-28,-107,-29,6.70,84.49,50.96
7787,25,437,-26,-99,-33,14.69,85.86,61.20
7865,33,154,-25,-86,-36,29.31,86.89,71.27
7979,32,-94,-24,-76,-38,51.84,87.44,80.45
8154,42,-308,-22,-69,-37,77.37,87.42,88.51
8356,55,-470,-20,-60,-33,96.42,92.99,95.25
8537,75,-625,-18,-47,-28,107.78,93.51,100.34
8672,105,-738,-16,-33,-24,113.79,94.01,103.88
8803,133,-827,-14,-18,-21,116.17,94.40,105.85
8954,151,-863,-11,-1,-19,115.81,94.66,106.43
9124,165,-852,-9,18,-16,112.94,94.78,105.53
9275,182,-844,-6,37,-12,107.39,94.78,103.07
9378,225,-838,-5,53,-8,99.32,94.72,99.23
9446,318,-819,-3,64,-3,89.22,85.31,94.31
9503,429,-784,-1,70,1,77.99,85.22,88.65
9564,530,-768,0,73,5,66.91,84.99,82.73
9642,606,-720,0,72,10,56.80,84.65,76.94
9739,661,-618,4,73,17,47.66,84.24,71.25
9808,727,-422,9,81,25,38.74,83.69,65.15
9824,769,-97,14,96,33,29.87,82.89,58.13
9754,826,321,17,121,38,21.58,81.65,50.10
9518,924,755,16,154,39,14.76,79.85,41.73
9091,1018,1157,11,179,34,10.04,77.53,34.30
8577,1036,1499,2,192,24,7.15,74.92,28.66
8116,1038,1798,-7,195,11,5.52,72.20,24.79
7797,1015,2040,-15,195,-1,4.67,69.44,22.25
-1211,-70,8088,-3,-3,-1,-0.56,-9.18,1.24
-1184,-79,8067,-2,-1,1,-0.59,-9.15,1.23
-1197,-82,8054,-1,1,1,-0.59,-9.16,1.20
-1251,-76,8066,0,1,1,-0.58,-9.18,1.18
-1302,-63,8085,1,1,1,-0.56,-9.21,1.16
-1340,-48,8118,1,-1,0,-0.53,-9.22,1.16
-1357,-36,8154,0,-2,-2,-0.51,-9.21,1.17
-1335,-32,8176,0,-2,-3,-0.51,-9.19,1.20
-1301,-41,8188,-1,-1,-3,-0.52,-9.17,1.23
-1269,-58,8188,-2,-1,-2,-0.54,-9.16,1.25
-1241,-77,8162,-3,-2,-1,-0.58,-9.15,1.25
-1225,-101,8122,-3,-2,0,-0.61,-9.12,1.24
-1232,-120,8090,-2,-3,1,-0.64,-9.08,1.21
-1252,-124,8050,-1,-3,2,-0.65,-9.05,1.18
-1283,-124,8027,0,-2,2,-0.64,-9.04,1.14
-1332,-124,8028,0,-1,1,-0.63,-9.03,1.12
-1377,-117,8042,1,-2,1,-0.61,-9.03,1.10
-1405,-114,8071,1,-2,0,-0.59,-9.03,1.10
-1423,-109,8091,0,-3,-1,-0.58,-9.01,1.10
-1425,-103,8098,-1,-3,-1,-0.58,-8.98,1.11
-1413,-99,8097,-1,-3,-1,-0.59,-8.94,1.13
-1404,-99,8077,-2,-3,-1,-0.61,-8.91,1.13
-1405,-100,8062,-1,-3,-1,-0.63,-8.89,1.14
-1411,-107,8053,-1,-3,-1,-0.64,-8.86,1.14
-1414,-114,8057,-1,-3,-1,-0.64,-8.84,1.15
-1417,-117,8061,0,-4,-2,-0.64,-8.80,1.16
-1401,-119,8060,0,-4,-2,-0.64,-8.76,1.19
-1365,-116,8062,0,-5,-2,-0.65,-8.70,1.21
-1315,-113,8068,0,-6,-2,-0.65,-8.63,1.23
-1260,-115,8082,-1,-7,-1,-0.65,-8.53,1.24
-1216,-127,8087,-1,-8,0,-0.67,-8.42,1.23
-1180,-149,8095,-2,-10,1,-0.68,-8.30,1.21
-1153,-172,8095,-2,-12,2,-0.71,-8.13,1.18
-1137,-190,8092,-2,-17,3,-0.73,-7.92,1.14
-1114,-209,8092,-2,-22,4,-0.75,-7.64,1.08
-1087,-215,8083,-3,-28,5,-0.78,-7.27,1.00
-1059,-197,8073,-3,-35,7,-0.81,-6.81,0.90
-1027,-171,8072,-4,-41,8,-0.84,-6.26,0.78
-1023,-143,8060,-4,-44,8,-0.88,-5.68,0.66
-1059,-84,7994,-4,-51,6,-0.92,-5.02,0.56
-1109,-59,7921,-4,-62,4,-0.94,-4.24,0.48
-1123,-30,7884,-1,-76,2,-0.95,-3.27,0.44
-1100,14,7890,0,-92,1,-0.93,-2.09,0.42
-1038,59,7943,0,-113,1,-0.90,-0.63,0.41
-902,90,8062,-3,-138,2,-0.91,1.17,0.38
