aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
218,-1499,7789,-118,3,-1,-15.62,1.68,66.91
216,-1770,7703,-128,10,-1,-17.38,1.56,66.76
200,-2105,7608,-140,18,-2,-19.30,1.34,66.62
210,-2439,7440,-152,30,-7,-21.41,1.01,66.53
182,-2751,7241,-160,46,-15,-23.64,0.53,66.57
106,-3053,7089,-163,57,-21,-25.95,-0.05,66.76
-19,-3328,7064,-158,59,-23,-28.21,-0.66,67.01
-205,-3566,7242,-145,51,-20,-30.29,-1.21,67.25
-318,-3718,7513,-128,29,-13,-32.12,-1.56,67.31
-328,-3831,7667,-113,-2,-5,-33.70,-1.59,67.08
-363,-3997,7617,-102,-28,4,-35.10,-1.38,66.52
-364,-4184,7377,-94,-42,11,-36.40,-1.03,65.68
-267,-4385,7002,-94,-43,14,-37.71,-0.67,64.72
-155,-4596,6537,-100,-32,13,-39.09,-0.40,63.77
-27,-4819,6069,-111,-11,8,-40.64,-0.30,62.96
107,-4993,5666,-122,15,0,-42.37,-0.39,62.38
114,-5101,5442,-129,36,-7,-44.20,-0.64,62.07
56,-5160,5362,-131,43,-9,-46.05,-0.97,61.89
-51,-5166,5414,-127,41,-7,-47.84,-1.31,61.69
-109,-5177,5456,-121,26,-1,-49.51,-1.58,61.30
-157,-5311,5367,-114,5,7,-51.10,-1.73,60.55
-241,-5527,5214,-104,-11,15,-52.56,-1.84,59.43
-259,-5768,5044,-96,-19,20,-53.91,-1.93,58.08
-247,-5976,4862,-94,-19,22,-55.22,-2.03,56.64
-229,-6166,4631,-94,-15,22,-56.53,-2.16,55.16
-219,-6377,4462,-95,-2,20,-57.87,-2.37,53.77
-264,-6612,4402,-94,10,19,-59.20,-2.65,52.54
-347,-6914,4391,-89,14,18,-60.46,-2.98,51.41
-466,-7252,4381,-76,8,16,-61.58,-3.27,50.29
-570,-7570,4324,-58,-2,16,-62.45,-3.49,49.22
-634,-7800,4297,-38,-9,16,-63.04,-3.66,48.25
-668,-7947,4356,-26,-15,16,-63.41,-3.80,47.41
-689,-8083,4435,-20,-19,17,-63.67,-3.91,46.57
-690,-8249,4542,-18,-18,18,-63.86,-4.03,45.80
-668,-8432,4561,-15,-21,18,-64.03,-4.14,45.02
-650,-8596,4592,-8,-13,15,-64.12,-4.26,44.43
-616,-8703,4674,0,-7,10,-64.11,-4.35,44.14
-609,-8799,4769,12,-7,3,-63.94,-4.35,44.16
-577,-8883,4796,28,-12,-4,-63.56,-4.26,44.45
-481,-8936,4691,50,-18,-12,-62.93,-4.02,45.02
-395,-8901,4595,76,-19,-18,-61.96,-3.67,45.98
-258,-8685,4579,100,-22,-21,-60.63,-3.25,47.25
-48,-8331,4620,117,-24,-20,-59.02,-2.80,48.68
141,-7876,4686,126,-22,-16,-57.25,-2.38,50.11
252,-7371,4803,130,-16,-11,-55.39,-2.06,51.48
321,-6883,4981,128,-9,-5,-53.53,-1.86,52.76
331,-6513,5195,125,-2,-1,-51.70,-1.78,53.93
278,-6289,5448,126,2,1,-49.88,-1.78,55.01
166,-6176,5726,134,1,3,-47.98,-1.82,56.04
-7,-6134,6020,144,-6,5,-45.94,-1.84,56.97
-192,-6137,6295,155,-20,8,-43.76,-1.78,57.71
-292,-6107,6457,161,-34,9,-41.49,-1.57,58.25
-264,-5965,6455,159,-41,6,-39.24,-1.23,58.66
-164,-5706,6411,151,-31,2,-37.09,-0.88,59.08
-130,-5379,6442,139,-17,-1,-35.09,-0.65,59.58
-178,-5051,6534,123,-7,-2,-33.28,-0.54,60.08
