aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-1312,6482,4277,143,-17,-53,59.52,-10.11,64.19
-1298,6597,3891,146,-17,-48,61.51,-10.58,63.85
-1277,6642,3443,150,-18,-43,63.55,-11.00,63.30
-1248,6682,2971,155,-15,-40,65.68,-11.41,62.49
-1241,6781,2574,159,-13,-37,67.90,-11.80,61.31
-1259,6990,2260,160,-10,-35,70.15,-12.18,59.76
-1314,7292,2021,157,-6,-34,72.39,-12.59,57.80
-1348,7661,1863,150,0,-33,74.56,-13.01,55.37
-1387,8040,1759,141,2,-30,76.60,-13.39,52.54
-1469,8310,1640,132,3,-26,78.52,-13.73,49.36
-1570,8409,1490,124,5,-21,80.32,-14.02,45.79
-1730,8375,1334,119,5,-17,82.03,-14.26,41.82
-1954,8243,1145,116,-1,-11,83.68,-14.45,37.49
-2147,8060,890,115,-5,-6,85.30,-14.58,32.70
-2303,7892,574,115,-10,-3,86.91,-14.66,27.24
-2391,7774,220,115,-11,0,88.54,-14.69,20.96
-2407,7768,-93,113,-9,1,90.16,-165.30,13.98
-2357,7865,-328,107,-7,1,91.71,-165.30,6.68
-2297,8017,-469,98,-3,0,93.14,-165.32,-0.28
-2256,8205,-536,87,-2,1,94.41,-165.34,-6.51
-2214,8403,-596,75,-2,3,95.51,-165.38,-11.82
-2168,8632,-654,62,0,4,96.42,-165.45,-16.09
-2149,8871,-690,49,-1,5,97.14,-165.55,-19.39
-2152,9076,-768,36,-3,7,97.66,-165.66,-21.85
-2157,9207,-907,23,-4,9,98.00,-165.80,-23.62
-2203,9305,-1044,12,-2,9,98.20,-165.94,-24.65
-2268,9401,-1180,0,-1,9,98.24,-166.06,-24.99
-2360,9471,-1307,-12,2,10,98.15,-166.20,-24.67
-2492,9529,-1386,-21,4,11,97.91,-166.35,-23.70
-2607,9584,-1415,-30,5,11,97.56,-166.49,-22.20
-2726,9647,-1376,-38,6,13,97.09,-166.65,-20.09
-2829,9743,-1292,-47,5,15,96.47,-166.82,-17.43
-2847,9817,-1230,-58,4,16,95.72,-167.01,-14.12
-2848,9856,-1137,-69,7,16,94.81,-167.22,-10.00
-2870,9814,-1041,-80,4,17,93.75,-167.44,-5.09
-2807,9623,-1048,-88,0,19,92.57,-167.66,0.29
-2695,9354,-1046,-93,3,20,91.35,-167.91,5.85
-2578,9093,-983,-95,2,23,90.08,-168.20,11.42
-2442,8846,-871,-97,0,29,88.78,-11.44,16.81
-2288,8608,-733,-99,-1,35,87.46,-10.98,21.87
-2180,8389,-508,-101,-2,40,86.10,-10.46,26.64
-2093,8207,-268,-105,-5,43,84.66,-9.88,31.26
-1951,8050,-53,-112,-8,45,83.15,-9.26,35.69
-1791,7908,82,-121,-9,44,81.52,-8.64,39.97
-1658,7743,126,-131,-8,44,79.77,-8.02,44.00
-1584,7542,136,-139,-5,41,77.93,-7.44,47.64
-1571,7303,129,-144,-2,38,76.01,-6.93,50.82
-1595,7005,145,-145,0,34,74.09,-6.50,53.53
-1606,6685,202,-143,1,30,72.18,-6.14,55.80
-1540,6405,304,-139,1,27,70.32,-5.82,57.71
-1365,6201,492,-136,2,24,68.50,-5.54,59.34
-1100,6087,786,-135,4,22,66.68,-5.27,60.74
-821,6103,1176,-136,5,23,64.85,-5.00,61.92
-529,6204,1617,-140,6,27,62.96,-4.67,62.92
-270,6298,2046,-145,9,32,61.00,-4.28,63.72
-462,1293,8138,4,-2,0,9.62,-3.18,63.96
-473,1324,8154,5,-4,1,9.68,-3.14,63.94
-499,1352,8159,5,-5,1,9.77,-3.08,63.92
-522,1372,8144,6,-5,0,9.86,-3.04,63.91
-522,1385,8125,7,-4,-1,9.95,-2.99,63.91
-504,1406,8104,7,-4,-2,10.05,-2.95,63.92
