ax,ay,az,gx,gy,gz,roll,pitch,target,target_name
284.0,138.0,3937.0,60.0,21.0,30.0,10.31,-3.42,0.0,right
272.0,129.0,3927.0,61.0,22.0,31.0,10.32,-3.42,0.0,right
287.0,159.0,3910.0,81.0,16.0,42.0,10.35,-3.41,0.0,right
268.0,167.0,3913.0,85.0,16.0,40.0,10.35,-3.41,0.0,right
284.0,181.0,3895.0,83.0,15.0,39.0,10.36,-3.41,0.0,right
286.0,168.0,3894.0,85.0,16.0,39.0,10.36,-3.41,0.0,right
278.0,153.0,3841.0,77.0,3.0,34.0,10.39,-3.4,0.0,right
277.0,177.0,3805.0,74.0,5.0,36.0,10.4,-3.4,0.0,right
247.0,192.0,3820.0,72.0,9.0,37.0,10.4,-3.4,0.0,right
248.0,175.0,3843.0,70.0,12.0,34.0,10.4,-3.4,0.0,right
253.0,170.0,3848.0,68.0,11.0,32.0,10.41,-3.4,0.0,right
286.0,207.0,3861.0,48.0,24.0,37.0,10.42,-3.38,0.0,right
293.0,181.0,3846.0,47.0,23.0,37.0,10.42,-3.38,0.0,right
300.0,162.0,3853.0,43.0,23.0,39.0,10.42,-3.38,0.0,right
317.0,163.0,3882.0,43.0,25.0,38.0,10.42,-3.38,0.0,right
305.0,174.0,3932.0,53.0,25.0,45.0,10.44,-3.37,0.0,right
293.0,182.0,3907.0,50.0,29.0,44.0,10.44,-3.36,0.0,right
300.0,177.0,3930.0,52.0,28.0,47.0,10.44,-3.36,0.0,right
270.0,181.0,3942.0,55.0,25.0,48.0,10.45,-3.36,0.0,right
281.0,172.0,3906.0,53.0,22.0,48.0,10.45,-3.36,0.0,right
285.0,195.0,3920.0,39.0,15.0,55.0,10.45,-3.35,0.0,right
273.0,191.0,3924.0,38.0,13.0,54.0,10.45,-3.35,0.0,right
281.0,170.0,3916.0,37.0,14.0,55.0,10.46,-3.35,0.0,right
288.0,186.0,3882.0,39.0,13.0,57.0,10.46,-3.35,0.0,right
290.0,150.0,3914.0,50.0,1.0,53.0,10.47,-3.35,0.0,right
280.0,137.0,3916.0,55.0,0.0,54.0,10.47,-3.35,0.0,right
288.0,141.0,3887.0,57.0,-1.0,52.0,10.47,-3.35,0.0,right
271.0,129.0,3901.0,61.0,0.0,53.0,10.47,-3.35,0.0,right
301.0,133.0,3883.0,74.0,9.0,70.0,10.5,-3.35,0.0,right
320.0,138.0,3894.0,74.0,8.0,74.0,10.5,-3.35,0.0,right
319.0,118.0,3879.0,73.0,11.0,75.0,10.5,-3.35,0.0,right
313.0,136.0,3863.0,70.0,13.0,75.0,10.51,-3.35,0.0,right
295.0,132.0,3884.0,65.0,16.0,76.0,10.51,-3.35,0.0,right
310.0,165.0,3878.0,27.0,5.0,69.0,10.51,-3.35,0.0,right
318.0,171.0,3888.0,26.0,9.0,65.0,10.5,-3.35,0.0,right
305.0,171.0,3887.0,24.0,7.0,63.0,10.5,-3.35,0.0,right
303.0,165.0,3891.0,20.0,6.0,62.0,10.5,-3.35,0.0,right
311.0,114.0,3897.0,8.0,-3.0,51.0,10.48,-3.36,0.0,right
316.0,129.0,3898.0,12.0,2.0,51.0,10.48,-3.36,0.0,right
287.0,113.0,3901.0,16.0,2.0,49.0,10.48,-3.36,0.0,right
290.0,104.0,3874.0,15.0,0.0,48.0,10.48,-3.36,0.0,right
308.0,78.0,3886.0,16.0,0.0,49.0,10.48,-3.36,0.0,right
315.0,111.0,3985.0,80.0,-5.0,69.0,10.51,-3.37,0.0,right
320.0,96.0,3972.0,90.0,0.0,72.0,10.51,-3.37,0.0,right
367.0,85.0,3990.0,99.0,8.0,77.0,10.51,-3.37,0.0,right
372.0,60.0,4018.0,114.0,12.0,83.0,10.52,-3.37,0.0,right
418.0,-21.0,4054.0,311.0,47.0,156.0,10.69,-3.37,0.0,right
442.0,-37.0,4083.0,340.0,69.0,163.0,10.71,-3.36,0.0,right
446.0,-42.0,4109.0,371.0,91.0,173.0,10.74,-3.36,0.0,right
416.0,-58.0,4154.0,403.0,104.0,183.0,10.76,-3.36,0.0,right
374.0,-72.0,4112.0,438.0,104.0,189.0,10.79,-3.35,0.0,right
38.0,-423.0,4127.0,933.0,31.0,368.0,11.36,-3.36,0.0,right
-59.0,-462.0,4119.0,1015.0,25.0,389.0,11.42,-3.36,0.0,right
-215.0,-457.0,4233.0,1095.0,-7.0,411.0,11.49,-3.36,0.0,right
-153.0,-735.0,4472.0,2158.0,-152.0,652.0,12.88,-3.53,0.0,right
-198.0,-809.0,4515.0,2299.0,-167.0,669.0,13.03,-3.54,0.0,right
-278.0,-916.0,4608.0,2464.0,-180.0,691.0,13.2,-3.56,0.0,right
-270.0,-977.0,4645.0,2631.0,-190.0,718.0,13.37,-3.59,0.0,right
-290.0,-1654.0,5659.0,4622.0,-282.0,1022.0,16.41,-3.92,0.0,right
-271.0,-1667.0,5809.0,4869.0,-269.0,1060.0,16.75,-3.96,0.0,right
-215.0,-1608.0,6216.0,5158.0,-249.0,1107.0,17.1,-3.99,0.0,right
354.0,-1454.0,7596.0,7802.0,-15.0,1401.0,22.32,-4.32,0.0,right
538.0,-1510.0,7540.0,8132.0,34.0,1390.0,22.87,-4.35,0.0,right
646.0,-1458.0,7513.0,8417.0,84.0,1371.0,23.45,-4.39,0.0,right
551.0,-1340.0,7589.0,8670.0,106.0,1346.0,24.03,-4.42,0.0,right
761.0,-553.0,6264.0,10720.0,273.0,896.0,31.27,-4.55,0.0,right
798.0,-392.0,6023.0,10840.0,260.0,849.0,32.01,-4.57,0.0,right
742.0,-318.0,5858.0,10943.0,236.0,796.0,32.76,-4.58,0.0,right
838.0,983.0,3417.0,11040.0,-159.0,306.0,40.29,-4.84,0.0,right
849.0,1072.0,3222.0,10968.0,-188.0,264.0,41.06,-4.87,0.0,right
907.0,1342.0,2804.0,10859.0,-217.0,210.0,41.8,-4.89,0.0,right
923.0,1460.0,2602.0,10739.0,-244.0,163.0,42.55,-4.92,0.0,right
986.0,2339.0,534.0,8891.0,-269.0,-237.0,48.85,-5.02,0.0,right
874.0,2472.0,381.0,8657.0,-262.0,-278.0,49.49,-5.03,0.0,right
811.0,2424.0,227.0,8447.0,-268.0,-322.0,50.1,-5.03,0.0,right
642.0,2381.0,-926.0,6596.0,20.0,-744.0,54.95,-4.68,0.0,right
595.0,2381.0,-823.0,6429.0,46.0,-775.0,55.43,-4.64,0.0,right
795.0,2282.0,-1054.0,6300.0,98.0,-803.0,55.91,-4.6,0.0,right
822.0,2225.0,-1030.0,6182.0,147.0,-829.0,56.37,-4.56,0.0,right
1055.0,1984.0,-521.0,5500.0,965.0,-1014.0,60.35,-3.74,0.0,right
1081.0,1966.0,-419.0,5500.0,1094.0,-1016.0,60.75,-3.66,0.0,right
1089.0,1983.0,-279.0,5520.0,1201.0,-1024.0,61.16,-3.56,0.0,right
1096.0,2028.0,-149.0,5543.0,1311.0,-1030.0,61.56,-3.47,0.0,right
812.0,2509.0,731.0,6192.0,2422.0,-879.0,65.81,-2.26,0.0,right
965.0,2664.0,623.0,6259.0,2479.0,-853.0,66.24,-2.14,0.0,right
955.0,2753.0,637.0,6307.0,2538.0,-826.0,66.69,-2.03,0.0,right
213.0,3608.0,529.0,6211.0,2435.0,-545.0,71.0,-1.09,0.0,right
179.0,3657.0,595.0,6139.0,2384.0,-517.0,71.44,-1.0,0.0,right
135.0,3715.0,592.0,6076.0,2340.0,-496.0,71.86,-0.92,0.0,right
-74.0,3817.0,637.0,5997.0,2269.0,-470.0,72.28,-0.84,0.0,right
-242.0,4356.0,699.0,4889.0,1577.0,-252.0,75.7,-0.36,0.0,right
-271.0,4416.0,660.0,4723.0,1489.0,-224.0,76.04,-0.32,0.0,right
-283.0,4479.0,641.0,4568.0,1412.0,-198.0,76.36,-0.28,0.0,right
-220.0,4712.0,242.0,2688.0,674.0,-99.0,78.27,-0.11,0.0,right
-231.0,4677.0,245.0,2486.0,616.0,-108.0,78.45,-0.09,0.0,right
-233.0,4666.0,206.0,2280.0,557.0,-118.0,78.61,-0.07,0.0,right
-227.0,4631.0,161.0,2051.0,500.0,-130.0,78.76,-0.06,0.0,right
570.0,4019.0,-531.0,28.0,267.0,-300.0,78.85,0.12,0.0,right
1199.0,4290.0,-1105.0,-182.0,563.0,-313.0,78.85,0.14,0.0,right
-489.0,4593.0,224.0,-425.0,536.0,-337.0,78.82,0.18,0.0,right
-386.0,4433.0,-167.0,-2185.0,147.0,-528.0,77.35,0.57,0.0,right
-209.0,4419.0,-319.0,-2312.0,174.0,-541.0,77.19,0.61,0.0,right
-782.0,4252.0,163.0,-2413.0,105.0,-558.0,77.02,0.65,0.0,right
-688.0,4516.0,-96.0,-2534.0,36.0,-566.0,76.85,0.7,0.0,right
-547.0,4285.0,524.0,-3692.0,-502.0,-595.0,74.29,1.03,0.0,right
-586.0,4253.0,570.0,-3799.0,-567.0,-605.0,74.01,1.06,0.0,right
-564.0,4305.0,637.0,-3886.0,-619.0,-608.0,73.73,1.1,0.0,right
-443.0,4352.0,634.0,-3989.0,-646.0,-616.0,73.44,1.13,0.0,right
-212.0,4036.0,899.0,-5003.0,-1005.0,-707.0,69.95,1.37,0.0,right
-194.0,3982.0,895.0,-5120.0,-1046.0,-722.0,69.58,1.39,0.0,right
-224.0,3934.0,917.0,-5218.0,-1086.0,-734.0,69.21,1.41,0.0,right
-87.0,3447.0,1049.0,-6175.0,-1593.0,-857.0,64.88,1.52,0.0,right
-60.0,3375.0,1044.0,-6263.0,-1634.0,-873.0,64.42,1.52,0.0,right
-18.0,3349.0,1031.0,-6344.0,-1677.0,-888.0,63.96,1.52,0.0,right
224.0,2756.0,1355.0,-7060.0,-2067.0,-1070.0,58.98,1.45,0.0,right
233.0,2705.0,1353.0,-7116.0,-2097.0,-1088.0,58.46,1.44,0.0,right
174.0,2701.0,1373.0,-7175.0,-2134.0,-1103.0,57.95,1.42,0.0,right
190.0,2676.0,1400.0,-7244.0,-2169.0,-1114.0,57.42,1.4,0.0,right
313.0,2268.0,1811.0,-7719.0,-2236.0,-1280.0,51.99,1.18,0.0,right
392.0,2225.0,1877.0,-7756.0,-2243.0,-1297.0,51.42,1.15,0.0,right
447.0,2223.0,1859.0,-7790.0,-2233.0,-1317.0,50.87,1.12,0.0,right
383.0,2173.0,2349.0,-7993.0,-2121.0,-1464.0,45.25,0.84,0.0,right
376.0,2178.0,2381.0,-8001.0,-2105.0,-1471.0,44.68,0.81,0.0,right
346.0,2204.0,2428.0,-8006.0,-2091.0,-1475.0,44.1,0.77,0.0,right
149.0,2113.0,2937.0,-7851.0,-1893.0,-1438.0,38.59,0.42,0.0,right
167.0,2095.0,2991.0,-7818.0,-1871.0,-1428.0,38.01,0.38,0.0,right
159.0,2062.0,3042.0,-7773.0,-1847.0,-1415.0,37.46,0.34,0.0,right
127.0,2069.0,3127.0,-7729.0,-1828.0,-1403.0,36.91,0.29,0.0,right
546.0,2073.0,3690.0,-7093.0,-1731.0,-1272.0,31.94,-0.24,0.0,right
554.0,2092.0,3683.0,-7003.0,-1731.0,-1275.0,31.42,-0.3,0.0,right
291.0,2030.0,4059.0,-6903.0,-1743.0,-1266.0,30.93,-0.36,0.0,right
-476.0,1852.0,4360.0,-5956.0,-1625.0,-867.0,26.76,-1.03,0.0,right
-710.0,1746.0,4473.0,-5850.0,-1625.0,-796.0,26.33,-1.11,0.0,right
-683.0,1709.0,4426.0,-5763.0,-1605.0,-725.0,25.9,-1.19,0.0,right
-606.0,944.0,4202.0,-4880.0,-1447.0,-15.0,22.47,-2.05,0.0,right
-513.0,897.0,4172.0,-4778.0,-1447.0,48.0,22.11,-2.15,0.0,right
-417.0,783.0,4137.0,-4675.0,-1452.0,103.0,21.77,-2.24,0.0,right
-366.0,771.0,4129.0,-4585.0,-1452.0,150.0,21.44,-2.34,0.0,right
-71.0,462.0,4110.0,-3665.0,-1385.0,558.0,18.83,-3.35,0.0,right
-55.0,431.0,4102.0,-3578.0,-1374.0,592.0,18.57,-3.46,0.0,right
10.0,365.0,4097.0,-3490.0,-1351.0,622.0,18.31,-3.56,0.0,right
415.0,-11.0,4317.0,-2677.0,-1076.0,835.0,16.35,-4.45,0.0,right
383.0,-49.0,4332.0,-2590.0,-1037.0,844.0,16.16,-4.54,0.0,right
347.0,3.0,4411.0,-2514.0,-1004.0,855.0,15.97,-4.62,0.0,right
454.0,-43.0,4385.0,-2427.0,-951.0,868.0,15.79,-4.71,0.0,right
466.0,-206.0,4466.0,-1794.0,-692.0,890.0,14.43,-5.33,0.0,right
477.0,-239.0,4454.0,-1742.0,-673.0,888.0,14.29,-5.39,0.0,right
461.0,-228.0,4475.0,-1694.0,-657.0,887.0,14.15,-5.45,0.0,right
461.0,-72.0,4342.0,-1436.0,-571.0,844.0,13.05,-5.97,0.0,right
573.0,-32.0,4162.0,-1433.0,-546.0,835.0,12.93,-6.02,0.0,right
394.0,41.0,4310.0,-1449.0,-549.0,823.0,12.82,-6.07,0.0,right
407.0,-23.0,4389.0,-1455.0,-568.0,810.0,12.71,-6.13,0.0,right
609.0,103.0,4083.0,-1691.0,-519.0,652.0,11.46,-6.57,0.0,right
604.0,114.0,4057.0,-1727.0,-515.0,631.0,11.32,-6.62,0.0,right
620.0,111.0,4047.0,-1772.0,-504.0,608.0,11.19,-6.66,0.0,right
613.0,83.0,4041.0,-1813.0,-492.0,582.0,11.05,-6.7,0.0,right
599.0,-23.0,4059.0,-2109.0,-495.0,353.0,9.53,-7.08,0.0,right
601.0,-80.0,4044.0,-2126.0,-497.0,326.0,9.37,-7.12,0.0,right
591.0,-167.0,4051.0,-2132.0,-497.0,305.0,9.21,-7.16,0.0,right
587.0,-436.0,4034.0,-2100.0,-475.0,181.0,7.69,-7.5,0.0,right
608.0,-453.0,4060.0,-2075.0,-464.0,176.0,7.53,-7.53,0.0,right
648.0,-454.0,4007.0,-2057.0,-446.0,176.0,7.38,-7.57,0.0,right
655.0,-481.0,4046.0,-2030.0,-430.0,178.0,7.23,-7.6,0.0,right
692.0,-631.0,4116.0,-1626.0,-321.0,208.0,6.02,-7.84,0.0,right
638.0,-584.0,4166.0,-1578.0,-299.0,211.0,5.9,-7.86,0.0,right
590.0,-558.0,4166.0,-1525.0,-274.0,213.0,5.78,-7.88,0.0,right
605.0,-537.0,4178.0,-1469.0,-243.0,219.0,5.67,-7.9,0.0,right
890.0,-747.0,4249.0,-993.0,-94.0,198.0,4.91,-7.98,0.0,right
871.0,-765.0,4277.0,-946.0,-90.0,187.0,4.83,-7.99,0.0,right
864.0,-777.0,4283.0,-894.0,-81.0,179.0,4.76,-8.0,0.0,right
668.0,-966.0,4374.0,-440.0,15.0,177.0,4.38,-7.99,0.0,right
628.0,-991.0,4377.0,-389.0,22.0,177.0,4.34,-7.98,0.0,right
630.0,-971.0,4409.0,-344.0,28.0,179.0,4.31,-7.98,0.0,right
615.0,-955.0,4446.0,-293.0,36.0,182.0,4.28,-7.98,0.0,right
555.0,-677.0,4330.0,112.0,83.0,184.0,4.3,-7.92,0.0,right
586.0,-648.0,4359.0,140.0,81.0,180.0,4.3,-7.91,0.0,right
624.0,-606.0,4256.0,174.0,83.0,170.0,4.31,-7.9,0.0,right
596.0,-586.0,4273.0,198.0,88.0,163.0,4.32,-7.9,0.0,right
542.0,-367.0,3975.0,292.0,58.0,99.0,4.49,-7.85,0.0,right
565.0,-339.0,3927.0,286.0,51.0,95.0,4.5,-7.84,0.0,right
543.0,-314.0,3865.0,275.0,48.0,96.0,4.52,-7.84,0.0,right
543.0,-289.0,3856.0,264.0,41.0,94.0,4.54,-7.84,0.0,right
524.0,-289.0,3804.0,251.0,39.0,88.0,4.55,-7.83,0.0,right
523.0,-264.0,3692.0,51.0,3.0,65.0,4.56,-7.82,0.0,right
529.0,-273.0,3663.0,32.0,-2.0,62.0,4.56,-7.82,0.0,right
